Italian,English
Spaghetti alla Carbonara,"Roman pasta with eggs, cheese, pancetta, and black pepper."
Lasagna,"Baked pasta with layers of meat, tomato sauce, and béchamel."
Risotto alla Milanese,Creamy rice dish flavored with saffron and Parmesan cheese.
Margherita Pizza,"Pizza topped with tomato, mozzarella, and fresh basil."
Ossobuco,"Braised veal shanks cooked with white wine, broth, and vegetables."
Tiramisu,Layered dessert with coffee-soaked ladyfingers and mascarpone cream.
Gnocchi,Soft potato dumplings typically served with tomato or butter sauce.
Polenta,Boiled cornmeal served as a soft dish or baked/grilled.
Vitello Tonnato,Cold sliced veal with creamy tuna and caper sauce.
Panzanella,"Tuscan bread salad with tomatoes, onions, and cucumbers."
